date,available,total,average_price
2023-01-02,t,14300,342.4683
2022-09-20,t,15417,342.4077
2022-08-18,t,18610,342.3891
2022-10-20,t,15414,342.3721
2022-10-13,t,15378,342.3547
2022-12-09,t,14396,342.3312
2022-09-19,t,15391,342.2572
2022-09-27,t,15367,342.2270
2022-08-08,t,18354,342.1259
2022-09-26,t,15344,342.1221
2022-06-04,t,20600,342.0733
2022-06-14,t,17574,342.0005
2022-10-30,t,15511,341.9974
2023-02-17,t,14437,341.9697
2022-06-20,t,17793,341.8545
2022-10-16,t,15406,341.6335
2022-10-27,t,15501,341.4017
2022-11-21,t,15434,341.2853
2022-10-23,t,15458,341.1923
2022-06-03,t,20572,341.0561
2022-06-21,t,17834,341.0181
2022-11-13,t,15479,340.7908
2022-08-17,t,18643,340.7206
2022-11-17,t,15477,340.6479
2023-02-25,t,14437,340.4045
2023-02-24,t,14446,340.3077
2022-11-06,t,15451,339.8460
2022-08-21,t,18788,339.7988
2022-08-15,t,18623,339.6031
2023-03-04,t,14493,339.4888
2022-12-21,t,14334,339.4252
2022-08-16,t,18633,339.3359
2022-10-12,t,15418,339.3223
2022-10-10,t,15425,339.3023
2022-10-19,t,15427,339.2653
2022-10-11,t,15425,339.1922
2023-01-28,t,14431,339.1414
2022-04-17,t,16470,339.0763
2022-08-25,t,18832,339.0638
2022-11-03,t,15397,339.0428
2022-10-05,t,15412,338.9750
2022-10-26,t,15501,338.8399
2023-01-03,t,14311,338.8229
2023-01-14,t,14401,338.7857
2022-11-30,t,15480,338.7857
2022-11-16,t,15474,338.7163
2023-03-03,t,14489,338.6770
2023-02-04,t,14461,338.6096
2023-01-13,t,14400,338.5852
2022-10-18,t,15455,338.5661
2022-11-28,t,15480,338.5555
2022-08-28,t,18926,338.4267
2022-05-21,t,19234,338.2926
2022-11-15,t,15480,338.2826
2023-01-05,t,14348,338.2182
2023-01-27,t,14433,338.2064
2022-10-31,t,15519,338.2058
2022-10-24,t,15491,338.1921
2023-02-03,t,14452,338.1886
2022-11-14,t,15484,338.0304
2022-04-14,t,15746,337.9473
2022-11-29,t,15483,337.9122
2022-12-20,t,14368,337.8304
2023-01-04,t,14335,337.8190
2022-10-03,t,15432,337.7054
2022-11-01,t,15507,337.6104
2022-10-17,t,15452,337.5874
2022-10-25,t,15505,337.5500
2023-01-21,t,14406,337.4406
2022-10-04,t,15428,337.3334
2022-05-20,t,19267,337.0745
2022-12-18,t,14385,337.0483
2022-08-24,t,18873,336.9090
2023-01-20,t,14412,336.8149
2022-05-06,t,18794,336.6327
2022-05-07,t,18865,336.5458
2022-11-02,t,15394,336.3783
2022-08-23,t,18845,335.8547
2022-12-19,t,14384,335.7861
2022-11-07,t,15463,335.7116
2022-08-22,t,18832,335.7103
2022-04-11,t,15753,335.5009
2022-04-13,t,15872,335.4972
2022-04-12,t,15962,335.2751
2022-11-09,t,15450,335.1466
2022-11-08,t,15470,335.1065
2022-12-01,t,15463,334.6578
2022-12-04,t,14365,334.1099
2022-12-15,t,14392,334.0079
2023-02-12,t,14465,333.7351
2022-08-29,t,19043,333.5179
2022-09-01,t,19180,333.3315
2023-01-08,t,14369,333.3178
2022-05-29,t,19761,333.3015
2022-08-31,t,19141,333.1503
2022-12-08,t,14385,332.8774
2022-08-30,t,19090,332.8755
2022-12-11,t,14398,332.8256
2022-04-20,t,16686,332.6171
2023-02-19,t,14436,332.5006
2022-04-18,t,16705,332.0265
2022-04-21,t,16639,331.9145
2022-12-14,t,14393,331.8340
2023-02-13,t,14466,331.7245
2022-04-19,t,16780,331.6905
2022-06-05,t,20344,331.6315
2022-12-13,t,14397,331.6112
2023-02-16,t,14436,331.5338
2022-12-07,t,14384,331.3902
2023-01-09,t,14368,331.1516
2022-12-12,t,14396,331.0290
2022-12-06,t,14395,330.7608
2022-05-15,t,18853,330.6632
2022-04-28,t,17667,330.6504
2023-02-26,t,14439,330.4129
2022-04-24,t,17509,330.3690
2023-01-12,t,14392,330.3629
2022-12-05,t,14401,330.3420
2023-02-23,t,14443,330.1170
2023-03-02,t,14481,329.8093
2023-02-05,t,14459,329.6860
2023-02-09,t,14439,329.5716
2023-02-15,t,14430,329.4264
2023-02-02,t,14449,329.3629
2023-01-15,t,14409,329.2486
2023-02-20,t,14438,329.1397
2023-03-05,t,14494,328.8555
2023-02-28,t,14454,328.8511
2023-02-27,t,14437,328.8200
2023-03-01,t,14475,328.7896
2023-01-10,t,14388,328.5786
2023-01-11,t,14391,328.3304
2023-02-22,t,14445,328.3293
2023-02-14,t,14430,328.2872
2023-01-29,t,14439,328.2854
2023-02-01,t,14450,328.2563
2023-01-26,t,14435,328.2547
2022-05-12,t,18656,328.1851
2022-06-02,t,20734,328.0917
2023-02-08,t,14458,327.8620
2023-02-21,t,14445,327.8312
2023-02-07,t,14459,327.5877
2023-03-06,t,14492,327.5507
2023-01-22,t,14418,327.2717
2023-01-23,t,14416,327.1807
2023-01-25,t,14417,327.1546
2023-01-19,t,14404,327.1289
2023-02-06,t,14456,327.0480
2022-05-01,t,18598,327.0070
2023-01-18,t,14405,326.8528
2023-01-24,t,14412,326.8363
2022-04-27,t,18041,326.7498
2023-01-30,t,14437,326.7119
2023-01-31,t,14443,326.6288
2023-01-16,t,14406,325.9810
2023-03-10,t,149,325.8859
2023-01-17,t,14406,325.8794
2023-03-07,t,13643,325.8412
2022-04-25,t,17949,325.6030
2022-06-01,t,20814,325.5752
2023-03-11,t,149,325.4966
2022-04-26,t,18139,325.1690
2022-05-26,t,19895,324.6635
2022-05-08,t,19396,323.6859
2022-05-30,t,20269,323.2760
2022-05-05,t,19041,323.0202
2022-05-19,t,19660,322.7675
2022-05-22,t,19764,322.2418
2022-05-04,t,19266,321.4889
2022-05-02,t,19126,321.2748
2022-05-16,t,19694,321.2691
2022-05-11,t,19379,320.9741
2022-05-03,t,19281,320.5316
2022-05-18,t,19890,320.3160
2022-05-17,t,19945,320.1867
2022-05-25,t,20169,319.9112
2023-03-18,t,146,319.3424
2022-05-31,t,20616,319.2415
2022-05-10,t,19686,319.0357
2022-05-24,t,20261,318.7792
2023-03-24,t,147,318.7482
2023-03-25,t,147,318.7210
2022-05-09,t,19732,318.3405
2022-05-23,t,20151,318.0870
2023-03-17,t,147,317.4421
2023-03-16,t,150,311.5333
2023-03-09,t,150,311.2533
2023-03-22,t,149,310.8187
2023-03-20,t,149,310.4697
2023-03-12,t,149,310.1946
2023-03-21,t,149,309.5637
2023-03-15,t,150,307.5400
2023-03-13,t,150,307.4733
2023-03-14,t,150,306.7733
2023-03-29,t,147,306.1292
2023-03-23,t,148,303.0472
2023-03-08,t,1798,302.4627
2023-03-26,t,148,300.7567
2023-03-27,t,148,300.1013
2023-03-19,t,148,299.9121
2023-03-28,t,148,299.3581
2022-12-31,f,19419,272.2094
2022-12-30,f,19429,271.8088
2022-12-24,f,19353,271.6371
2023-02-11,f,19159,271.6267
2023-02-10,f,19159,271.1349
2023-02-25,f,19185,270.7700
2023-02-18,f,19184,270.6066
2023-02-24,f,19176,270.3845
2023-02-17,f,19185,270.3374
2023-03-04,f,19129,269.3003
2023-03-03,f,19133,269.1978
2022-12-23,f,19339,268.1790
2023-01-01,f,19376,266.2060
2023-01-06,f,19258,265.8956
2023-03-07,f,19979,265.7765
2023-01-07,f,19255,264.2345
2022-12-25,f,19400,263.6595
2023-02-12,f,19157,263.3570
2022-12-29,f,19388,262.9775
2023-01-02,f,19321,262.8275
2023-02-23,f,19179,262.6835
2023-02-19,f,19186,262.6447
2023-02-13,f,19155,262.5153
